ExciseTaxNbr,Month,Day,Year,SalePrice,PropertyType,PropertyClass,PrincipalUse,SaleInstrument,SaleReason,AFHistoricProperty
2687551,08,21,2014,245000,3,8,6,3,1,N
3080093,10,27,2020,0,11,8,6,15,18,N
1235111,07,09,1991,0,3,3,0,26,18,N
2704079,10,11,2014,0,3,8,6,15,18,N
2584094,01,04,2013,0,3,8,6,15,11,N
3027422,12,20,2019,560000,3,8,6,3,1,N
1056831,04,20,1989,85000,3,9,0,2,1,N
1971467,07,07,2003,0,6,3,2,22,8,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
1813750,04,25,2001,5755000,1,7,9,3,1,N
714942,04,06,1983,91500,2,8,6,2,1, 
1729614,12,21,1999,0,3,8,11,15,10,N
1729614,12,21,1999,0,3,8,11,15,10,N
2254430,12,05,2006,0,3,2,11,15,18,N
685277,08,11,1982,0,3,3,2,15,1, 
961971,08,25,1987,37500,1,7,0,2,1,N
2857854,03,28,2017,0,3,2,7,15,16,N
2546588,05,22,2012,0,1,7,6,15,11,N
1157170,06,08,1990,0,3,8,0,18,16,N
1709671,09,08,1999,292000,3,8,6,3,1,N
2420985,12,04,2009,287000,3,8,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2671216,04,02,2014,0,3,8,6,15,11,N
2201052,03,03,2006,0,3,3,2,15,14,N
2548641,06,07,2012,335000,3,8,6,3,1,N
1598443,03,06,1998,209950,3,8,6,3,1,N
2339550,03,28,2008,0,3,8,6,15,18,N
1766926,07,23,2000,154950,3,3,2,3,1,N
2743355,07,14,2015,190000,3,8,6,3,1,N
1684472,02,12,1999,0,3,8,6,15,11,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
1217902,10,11,1991,0,3,8,0,15,18,N
1217902,10,11,1991,0,3,8,0,15,18,N
1217902,10,11,1991,0,3,8,0,15,18,N
955304,06,28,1987,0,1,2,0,2,18,N
666873,02,04,1982,66500,3,8,6,10,1, 
2701245,10,31,2014,0,3,8,6,15,19,N
2324422,09,26,2007,0,3,8,6,2,18,N
2559110,08,13,2012,327500,3,8,6,3,1,N
2508173,08,25,2011,0,3,2,7,24,8,N
2077507,10,14,2004,150000,1,7,6,3,1,N
1571781,09,01,1997,505,1,7,6,27,18,N
1989556,09,12,2003,515000,3,8,6,3,1,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2603013,08,02,2012,0,1,1,11,15,16,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
2040352,05,10,2004,2100000,1,7,6,3,1,N
1606088,04,10,1998,130000,3,3,2,3,1,N
3002257,07,22,2019,435000,11,8,6,3,1,N
2233675,08,23,2006,389000,3,8,6,3,1,N
2148327,08,16,2005,400000,3,8,6,3,1,N
1274378,10,14,1992,86000,3,3,0,2,1,N
2651984,10,01,2013,0,1,7,6,15,19,N
2651984,10,01,2013,0,1,7,6,15,19,N
2674084,06,13,2014,615000,3,8,6,3,1, 
2837936,12,05,2016,133000,3,8,6,27,18,N
1253551,06,18,1992,51000,2,8,6,2,1,N
1988700,09,11,2003,180000,3,3,2,3,8,N
2703874,01,31,2011,0,3,8,6,15,16,N
2380625,02,18,2009,0,3,3,2,27,18,N
2380625,02,18,2009,0,3,3,2,27,18,N
2380625,02,18,2009,0,3,3,2,27,18,N
2380625,02,18,2009,0,3,3,2,27,18,N
2380625,02,18,2009,0,3,3,2,27,18,N
2380625,02,18,2009,0,3,3,2,27,18,N
2380625,02,18,2009,0,3,3,2,27,18,N
2380625,02,18,2009,0,3,3,2,27,18,N
2380625,02,18,2009,0,3,3,2,27,18,N
1600768,03,19,1998,215000,2,3,2,3,1,N
2413752,09,11,2009,0,3,3,2,15,11,N
1939480,02,06,2003,0,3,8,6,15,10,N
2999169,07,08,2019,192000,3,3,2,3,1,N
2220242,05,30,2006,0,1,7,6,3,18,N
2252406,11,16,2006,690576,2,8,6,3,1,N
3110091,03,29,2021,620000,11,8,6,2,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2324275,12,05,2007,650000,3,8,6,3,1,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
2163790,10,19,2005,394995,2,8,6,3,1,N
1965001,05,22,2003,0,3,8,6,15,5,N
2739134,06,22,2015,0,3,8,6,15,18,N
1780282,10,03,2000,292500,2,8,6,3,1,N
1506375,09,18,1996,304000,1,7,6,3,1,N
2222499,07,11,2006,0,3,8,6,15,13,N
2507747,08,25,2011,107000,3,3,2,3,1,N
2899303,10,30,2017,375000,3,8,6,3,1,N
2343480,04,21,2008,0,3,8,6,22,18,N
1440676,07,21,1995,164500,3,8,6,2,1,N
2230580,08,11,2006,140000,3,8,6,3,1,N
3000673,06,26,2019,185000,3,3,2,3,1,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2642952,11,20,2013,699950,2,8,6,3,1,N
1381073,06,16,1994,125000,3,8,6,2,1,N
2496482,06,09,2011,542200,3,8,6,3,1, 
1970507,06,25,2003,443000,3,8,6,3,1,N
1701215,07,08,1999,225000,3,8,6,3,1,N
2841697,12,21,2016,818161,2,8,6,3,1,N
1796451,01,04,2001,129950,3,8,6,3,1,N
2130947,06,10,2005,1650000,3,8,6,3,1,N
1307121,05,05,1993,0,3,8,6,15,9,N
1890747,05,24,2002,589950,3,8,6,3,1,N
2826129,10,03,2016,0,3,3,2,15,18,N
